occupation_id,person_id,record_id,work,business
1,P1900_,612,Merchant,NULL
2,P1900_000001,613,NULL,NULL
3,P1900_000002,614,Bakes Bread,NULL
4,P1900_000003,615,Baker,NULL
5,P1900_000004,616,At School,NULL
6,P1900_000005,617,Jewelry,NULL
7,P1900_000006,618,NULL,NULL
8,P1900_000007,619,At School,NULL
9,P1900_000008,620,NULL,NULL
10,P1900_000009,621,NULL,NULL
11,P1900_00001,622,Trained Nurse,NULL
12,P1900_000011,623,Rr Laborer,NULL
13,P1900_000012,624,NULL,NULL
14,P1900_000013,625,NULL,NULL
15,P1900_000014,626,NULL,NULL
16,P1900_000015,627,NULL,NULL
17,P1900_000016,628,Rr Laborer,NULL
18,P1900_000017,629,NULL,NULL
19,P1900_000018,630,NULL,NULL
20,P1900_000019,631,Agriculture Farm,NULL
21,P1900_00002,632,NULL,NULL
22,P1900_000021,633,NULL,NULL
23,P1900_000022,634,Servant,NULL
24,P1900_000023,635,Teacher,NULL
25,P1900_000024,636,NULL,NULL
26,P1900_000025,637,NULL,NULL
27,P1900_000026,638,NULL,NULL
28,P1900_000027,639,Cook,NULL
29,P1900_000028,640,Farm Laborer,NULL
30,P1900_000029,641,NULL,NULL
31,P1900_00003,642,Rr Laborer,NULL
32,P1900_000031,643,Cook,NULL
33,P1900_000032,644,NULL,NULL
34,P1900_000033,645,NULL,NULL
35,P1900_000034,646,NULL,NULL
36,P1900_000035,647,Teacher,NULL
37,P1900_000036,648,NULL,NULL
38,P1900_000037,649,Housekeeper,NULL
39,P1900_000038,650,Housekeeper,NULL
40,P1900_000039,651,Housekeeper,NULL
41,P1900_00004,652,NULL,NULL
42,P1900_000041,653,NULL,NULL
43,P1900_000042,654,Farm Laborer,NULL
44,P1900_000043,655,NULL,NULL
45,P1900_000044,656,At School,NULL
46,P1900_000045,657,At School,NULL
47,P1900_000046,658,NULL,NULL
48,P1900_000047,659,NULL,NULL
49,P1900_000048,660,Farm Laborer,NULL
50,P1900_000049,661,NULL,NULL
51,P1900_00005,662,NULL,NULL
52,P1900_000051,663,Housekeeper,NULL
53,P1900_000052,664,Farm Laborer,NULL
54,P1900_000053,665,Farm Laborer,NULL
55,P1900_000054,666,Farm Laborer,NULL
56,P1900_000055,667,NULL,NULL
57,P1900_000056,668,Servant,NULL
58,P1900_000057,669,Student,NULL
59,P1900_000058,670,Servant,NULL
60,P1900_000059,671,Student,NULL
61,P1900_00006,672,NULL,NULL
62,P1900_000061,673,NULL,NULL
63,P1900_000062,674,NULL,NULL
64,P1900_000063,675,Day Laborer,NULL
65,P1900_000064,676,NULL,NULL
66,P1900_000065,677,Farm Laborer,NULL
67,P1900_000066,678,NULL,NULL
68,P1900_000067,679,NULL,NULL
69,P1900_000068,680,NULL,NULL
70,P1900_000069,681,Farm Laborer,NULL
71,P1900_00007,682,NULL,NULL
72,P1900_000071,683,NULL,NULL
73,P1900_000072,684,NULL,NULL
74,P1900_000073,685,NULL,NULL
75,P1900_000074,686,NULL,NULL
76,P1900_000075,687,NULL,NULL
77,P1900_000076,688,Housekeeper,NULL
78,P1900_000077,689,Day Laborer,NULL
79,P1900_000078,690,Servant,NULL
80,P1900_000079,691,NULL,NULL
81,P1900_00008,692,Farm Laborer,NULL
82,P1900_000081,693,Servant,NULL
83,P1900_000082,694,Day Laborer,NULL
84,P1900_000083,695,NULL,NULL
85,P1900_000084,696,Servant,NULL
86,P1900_000085,697,Servant,NULL
87,P1900_000086,698,NULL,NULL
88,P1900_000087,699,NULL,NULL
89,P1900_000088,700,NULL,NULL
90,P1900_000089,701,NULL,NULL
91,P1900_00009,702,Day Laborer,NULL
92,P1900_000091,703,NULL,NULL
93,P1900_000092,704,Day Laborer,NULL
94,P1900_000093,705,NULL,NULL
95,P1900_000094,706,Day Laborer,NULL
96,P1900_000095,707,Day Laborer,NULL
97,P1900_000096,708,Student,NULL
98,P1900_000097,709,NULL,NULL
99,P1900_000098,710,Day Laborer,NULL
100,P1900_000099,711,NULL,NULL
101,P1900_0001,712,NULL,NULL
102,P1900_000101,713,NULL,NULL
103,P1900_000102,714,NULL,NULL
104,P1900_000103,715,Day Laborer,NULL
105,P1900_000104,716,NULL,NULL
106,P1900_000105,717,Day Laborer,NULL
107,P1900_000106,718,Housekeeper,NULL
108,P1900_000107,719,Day Laborer,NULL
109,P1900_000108,720,NULL,NULL
110,P1900_000109,721,Day Laborer,NULL
111,P1900_00011,722,NULL,NULL
112,P1900_000111,723,NULL,NULL
113,P1900_000112,724,Day Laborer,NULL
114,P1900_000113,725,NULL,NULL
115,P1900_000114,726,NULL,NULL
116,P1900_000115,727,Day Laborer,NULL
117,P1900_000116,728,Day Laborer,NULL
118,P1900_000117,729,Day Laborer,NULL
119,P1900_000118,730,Student,NULL
120,P1900_000119,731,Student,NULL
121,P1900_00012,732,NULL,NULL
122,P1900_000121,733,NULL,NULL
123,P1900_000122,734,NULL,NULL
124,P1900_000123,735,NULL,NULL
125,P1900_000124,736,Farm Laborer,NULL
126,P1900_000125,737,NULL,NULL
127,P1900_000126,738,Housekeeper,NULL
128,P1900_000127,739,Servant,NULL
129,P1900_000128,740,Day Laborer,NULL
130,P1900_000129,741,NULL,NULL
131,P1900_00013,742,NULL,NULL
132,P1900_000131,743,NULL,NULL
133,P1900_000132,744,NULL,NULL
134,P1900_000133,745,NULL,NULL
135,P1900_000134,746,Servant,NULL
136,P1900_000135,747,Servant,NULL
137,P1900_000136,748,Servant,NULL
138,P1900_000137,749,Servant,NULL
139,P1900_000138,750,Day Laborer,NULL
140,P1900_000139,751,NULL,NULL
141,P1900_00014,752,Student,NULL
142,P1900_000141,753,NULL,NULL
143,P1900_000142,754,NULL,NULL
144,P1900_000143,755,NULL,NULL
145,P1900_000144,756,Domestic Servant,NULL
146,P1900_000145,757,Day Laborer,NULL
147,P1900_000146,758,Servant,NULL
148,P1900_000147,759,Day Laborer,NULL
149,P1900_000148,760,NULL,NULL
150,P1900_000149,761,Day Laborer,NULL
151,P1900_00015,762,NULL,NULL
152,P1900_000151,763,NULL,NULL
153,P1900_000152,764,NULL,NULL
154,P1900_000153,765,NULL,NULL
155,P1900_000154,766,Farm Laborer,NULL
156,P1900_000155,767,Day Laborer,NULL
157,P1900_000156,768,NULL,NULL
158,P1900_000157,769,Student,NULL
159,P1900_000158,770,NULL,NULL
160,P1900_000159,771,NULL,NULL
161,P1900_00016,772,Pressman (Factory Office),NULL
162,P1900_000161,773,NULL,NULL
163,P1900_000162,774,Servent,NULL
164,P1900_000163,775,Farmer,NULL
165,P1900_000164,776,NULL,NULL
166,P1900_000165,777,NULL,NULL
167,P1900_000166,778,Farm Laborer,NULL
168,P1900_000167,779,Farm Laborer,NULL
169,P1900_000168,780,NULL,NULL
170,P1900_000169,781,Servant,NULL
171,P1900_00017,782,Farm Laborer,NULL
172,P1900_000171,783,Farm Laborer,NULL
173,P1900_000172,784,At School,NULL
174,P1900_000173,785,NULL,NULL
175,P1900_000174,786,NULL,NULL
176,P1900_000175,787,Farm Laborer,NULL
177,P1900_000176,788,NULL,NULL
178,P1900_000177,789,NULL,NULL
179,P1900_000178,790,Servant,NULL
180,P1900_000179,791,NULL,NULL
181,P1900_00018,792,NULL,NULL
182,P1900_000181,793,Servant,NULL
183,P1900_000182,794,Agent (Real Estate),NULL
184,P1900_000183,795,NULL,NULL
185,P1900_000184,796,Agent (Real Estate),NULL
186,P1900_000185,797,Teacher,NULL
187,P1920_,612,NULL,NULL
188,P1920_000001,613,NULL,NULL
189,P1920_000002,614,NULL,NULL
190,P1920_000003,615,Cheff,Maryland State College
191,P1920_000004,616,NULL,NULL
192,P1920_000005,617,NULL,NULL
193,P1920_000006,618,Wash and Iron,At Home
194,P1920_000007,619,NULL,NULL
195,P1920_000008,620,NULL,NULL
196,P1920_000009,621,NULL,NULL
197,P1920_00001,622,NULL,NULL
198,P1920_000011,623,NULL,NULL
199,P1920_000012,624,NULL,NULL
200,P1920_000013,625,Housework,Private Family
201,P1920_000014,626,Laundrying,Maryland State College
202,P1920_000015,627,NULL,NULL
203,P1920_000016,628,Bus boy,Maryland State College
204,P1920_000017,629,NULL,NULL
205,P1920_000018,630,Laborer,Govt
206,P1920_000019,631,Teaming,State Road
207,P1920_00002,632,NULL,NULL
208,P1920_000021,633,NULL,NULL
209,P1920_000022,634,NULL,NULL
210,P1920_000023,635,NULL,NULL
211,P1920_000024,636,NULL,NULL
212,P1920_000025,637,NULL,NULL
213,P1920_000026,638,NULL,NULL
214,P1920_000027,639,NULL,NULL
215,P1920_000028,640,NULL,NULL
216,P1920_000029,641,Laborer,RR Rd
217,P1920_00003,642,NULL,NULL
218,P1920_000031,643,Cheff,Md St Col
219,P1920_000032,644,NULL,NULL
220,P1920_000033,645,NULL,NULL
221,P1920_000034,646,NULL,NULL
222,P1920_000035,647,NULL,NULL
223,P1920_000036,648,NULL,NULL
224,P1920_000037,649,Blacksmith,Mt Clare Shops
225,P1920_000038,650,NULL,NULL
226,P1920_000039,651,NULL,NULL
227,P1920_00004,652,NULL,NULL
228,P1920_000041,653,NULL,NULL
229,P1920_000042,654,NULL,NULL
230,P1920_000043,655,Switchman,RR Co
231,P1920_000044,656,NULL,NULL
232,P1920_000045,657,NULL,NULL
233,P1920_000046,658,Laborer,RR Co
234,P1920_000047,659,Laborer,RR Co
235,P1920_000048,660,NULL,NULL
236,P1920_000049,661,NULL,NULL
237,P1920_00005,662,NULL,NULL
238,P1920_000051,663,NULL,NULL
239,P1920_000052,664,NULL,NULL
240,P1920_000053,665,NULL,NULL
241,P1920_000054,666,NULL,NULL
242,P1920_000055,667,Mach work,Fare cab
243,P1920_000056,668,NULL,NULL
244,P1920_000057,669,Paper Hanger,Gen Services
245,P1920_000058,670,NULL,NULL
246,P1920_000059,671,Waiter,Lunch Room
247,P1920_00006,672,Waiter,Md St College
248,P1920_000061,673,Teacher,School
249,P1920_000062,674,NULL,NULL
250,P1920_000063,675,NULL,NULL
251,P1920_000064,676,NULL,NULL
252,P1920_000065,677,NULL,NULL
253,P1920_000066,678,NULL,NULL
254,P1920_000067,679,NULL,NULL
255,P1920_000068,680,NULL,NULL
256,P1920_000069,681,Construction,Concrete work
257,P1920_00007,682,NULL,NULL
258,P1920_000071,683,NULL,NULL
259,P1920_000072,684,NULL,NULL
260,P1920_000073,685,NULL,NULL
261,P1920_000074,686,NULL,NULL
262,P1920_000075,687,Laborer,RR Co
263,P1920_000076,688,Washerwoman,At Home
264,P1920_000077,689,NULL,NULL
265,P1920_000078,690,NULL,NULL
266,P1920_000079,691,NULL,NULL
267,P1920_00008,692,Laborer,RR Co
268,P1920_000081,693,Washing & Ironing,At Home
269,P1920_000082,694,House work,Private family
270,P1920_000083,695,NULL,NULL
271,P1920_000084,696,NULL,NULL
272,P1920_000085,697,NULL,NULL
273,P1920_000086,698,NULL,NULL
274,P1920_000087,699,Laborer,Farm
275,P1920_000088,700,NULL,NULL
276,P1920_000089,701,NULL,NULL
277,P1920_00009,702,NULL,NULL
278,P1920_000091,703,NULL,NULL
279,P1920_000092,704,NULL,NULL
280,P1920_000093,705,Foreman,RR Rd
281,P1920_000094,706,Laborer,St. Road
282,P1920_000095,707,Laborer,St. Road
283,P1920_000096,708,NULL,NULL
284,P1920_000097,709,NULL,NULL
285,P1920_000098,710,NULL,NULL
286,P1920_000099,711,NULL,NULL
287,P1920_0001,712,NULL,NULL
288,P1920_000101,713,NULL,NULL
289,P1920_000102,714,NULL,NULL
290,P1920_000103,715,Cheff,Md St Col
291,P1920_000104,716,Housekeeper,Private Family
292,P1920_000105,717,NULL,NULL
293,P1920_000106,718,NULL,NULL
294,P1920_000107,719,NULL,NULL
295,P1920_000108,720,NULL,NULL
296,P1920_000109,721,NULL,NULL
297,P1920_00011,722,Book Binder,Book Co
298,P1920_000111,723,NULL,NULL
299,P1920_000112,724,NULL,NULL
300,P1920_000113,725,NULL,NULL
301,P1920_000114,726,NULL,NULL
302,P1920_000115,727,laborer,RR Rd
303,P1920_000116,728,NULL,NULL
304,P1920_000117,729,NULL,NULL
305,P1920_000118,730,NULL,NULL
306,P1920_000119,731,Servant,Private Home
307,P1920_00012,732,Laborer,RR Rd
308,P1920_000121,733,NULL,NULL
309,P1920_000122,734,NULL,NULL
310,P1920_000123,735,NULL,NULL
311,P1920_000124,736,NULL,NULL
312,P1920_000125,737,Laborer,RR Rd
313,P1920_000126,738,NULL,NULL
314,P1920_000127,739,NULL,NULL
315,P1920_000128,740,NULL,NULL
316,P1920_000129,741,NULL,NULL
317,P1920_00013,742,NULL,NULL
318,P1920_000131,743,Laborer,Saw Mill
319,P1920_000132,744,NULL,NULL
320,P1920_000133,745,NULL,NULL
321,P1920_000134,746,NULL,NULL
322,P1920_000135,747,Waiter,Md St Col
323,P1920_000136,748,Janitor,Md St Col
324,P1920_000137,749,Laborer,Saw Mill
325,P1920_000138,750,NULL,NULL
326,P1920_000139,751,Laborer,Saw Mill
327,P1920_00014,752,Laborer,Saw Mill
328,P1920_000141,753,Laborer,RR Rd
329,P1920_000142,754,Laborer,RR Rd
330,P1920_000143,755,NULL,NULL
331,P1920_000144,756,Laborer,St Road
332,P1920_000145,757,Laborer,St Road
333,P1920_000146,758,NULL,NULL
334,P1920_000147,759,Laborer,RR Rd
335,P1920_000148,760,NULL,NULL
336,P1920_000149,761,Washing,At home
337,P1920_00015,762,Waiter,Md St Col
338,P1920_000151,763,Laborer,RR Rd
339,P1920_000152,764,NULL,NULL
340,P1920_000153,765,Janitor,Md St Col
341,P1920_000154,766,wash & iron,At Home
342,P1920_000155,767,Forestry nursery,Md St Col
343,P1920_000156,768,NULL,NULL
344,P1920_000157,769,NULL,NULL
345,P1920_000158,770,Driver,Wagan
346,P1920_000159,771,NULL,NULL
347,P1920_00016,772,NULL,NULL
348,P1920_000161,773,NULL,NULL
349,P1920_000162,774,NULL,NULL
350,P1920_000163,775,NULL,NULL
351,P1920_000164,776,NULL,NULL
352,P1920_000165,777,NULL,NULL
353,P1920_000166,778,Waiter,Md St Col
354,P1920_000167,779,NULL,NULL
355,P1920_000168,780,Laborer,St Rd
356,P1920_000169,781,NULL,NULL
357,P1920_00017,782,Baker,Md St Col
358,P1920_000171,783,Maid,Md St Col
359,P1920_000172,784,NULL,NULL
360,P1920_000173,785,NULL,NULL
361,P1920_000174,786,NULL,NULL
362,P1920_000175,787,NULL,NULL
363,P1920_000176,788,Laborer,RR Rd
364,P1920_000177,789,Maid,Md St Col
365,P1920_000178,790,NULL,NULL
366,P1920_000179,791,NULL,NULL
367,P1920_00018,792,NULL,NULL
368,P1920_000181,793,NULL,NULL
369,P1920_000182,794,Laundry,At Home
370,P1920_000183,795,NULL,NULL
371,P1920_000184,796,Laborer,RR Rd
372,P1920_000185,797,Laborer,RR Rd
373,P1930_,748,Laundress,At Home
374,P1930_000001,749,NULL,NULL
375,P1930_000002,750,Laundress,At Home
376,P1930_000003,751,Truck Driver,Retail Ice and Coal
377,P1930_000004,752,Servant,General Housework
378,P1930_000005,753,Dish washer,Restaurant
379,P1930_000006,754,NULL,NULL
380,P1930_000007,755,NULL,NULL
381,P1930_000008,756,NULL,NULL
382,P1930_000009,757,NULL,NULL
383,P1930_00001,758,NULL,NULL
384,P1930_000011,759,NULL,NULL
385,P1930_000012,760,Trackman,Steam Railway
386,P1930_000013,761,Laundress,University
387,P1930_000014,762,Laundress,University
388,P1930_000015,763,Attendant,Bowling Alley
389,P1930_000016,764,NULL,NULL
390,P1930_000017,765,Janitor,University
391,P1930_000018,766,Children's Nurse,Private Family
392,P1930_000019,767,Dishwasher,University
393,P1930_00002,768,NULL,NULL
394,P1930_000021,769,NULL,NULL
395,P1930_000022,770,NULL,NULL
396,P1930_000023,771,Painter and Paperhanger,Independent
397,P1930_000024,772,Cook,Club House
398,P1930_000025,773,Auto Mechanic,Garage
399,P1930_000026,774,NULL,NULL
400,P1930_000027,775,NULL,NULL
401,P1930_000028,776,NULL,NULL
402,P1930_000029,777,NULL,NULL
403,P1930_00003,778,Guard,Natl Museum
404,P1930_000031,779,NULL,NULL
405,P1930_000032,780,Maid,Reil Department Store
406,P1930_000033,781,NULL,NULL
407,P1930_000034,782,NULL,NULL
408,P1930_000035,783,NULL,NULL
409,P1930_000036,784,Janitress,Pullman Cars
410,P1930_000037,785,NULL,NULL
411,P1930_000038,786,Dishwasher,University
412,P1930_000039,787,Laborer,Steam Railway
413,P1930_00004,788,NULL,NULL
414,P1930_000041,789,Servant,General Housework
